mutation,biosensor,tau_frames,n_exp_jumps,n_exp_total,n_unexp_jumps,n_unexp_total,tau_min,p_exp,p_unexp,RR
AKT1_E17K,AKT (PI3K),0,706181,4598942,507275,4199057,0,0.15355292586860195,0.12080688592700695,1.2710610383697878
AKT1_E17K,AKT (PI3K),1,704343,4576850,509113,4221149,5,0.15389252433442216,0.1206100519076678,1.2759510662696134
AKT1_E17K,AKT (PI3K),2,699542,4554680,513914,4243319,10,0.15358751877190055,0.12111132818437642,1.2681515517531383
AKT1_E17K,AKT (PI3K),3,695627,4532659,517829,4265340,15,0.15346996100964136,0.12140392090665691,1.2641268903303284
AKT1_E17K,AKT (PI3K),4,691725,4511311,521731,4286688,20,0.15333126002618752,0.1217095809165491,1.259812570805909
AKT1_E17K,AKT (PI3K),5,687671,4489327,525785,4308672,25,0.15317908452647802,0.12202947915274126,1.2552629544107745
AKT1_E17K,AKT (PI3K),6,683251,4467664,530205,4330335,30,0.15293249447586033,0.12243971886701606,1.2490431690876636
AKT1_E17K,AKT (PI3K),7,679199,4444812,534257,4353187,35,0.15280713784969982,0.12272778541330753,1.2450899960028998
AKT1_E17K,AKT (PI3K),8,675290,4422918,538166,4375081,40,0.15267974671924733,0.12300709404008749,1.2412271658859746
AKT1_E17K,AKT (PI3K),9,671549,4400066,541907,4397933,45,0.15262248339002188,0.12321856654023607,1.2386321937951144
AKT1_E17K,AKT (PI3K),10,668397,4378396,545059,4419603,50,0.15265795967290305,0.12332759299873768,1.2378248529870002
AKT1_E17K,AKT (PI3K),11,664546,4356981,548910,4441018,55,0.1525244200055038,0.1236000394504143,1.234015949215723
AKT1_E17K,AKT (PI3K),12,660548,4335220,552908,4462779,60,0.15236781524351706,0.12389320645275063,1.2298318818766374
AKT1_E17K,AKT (PI3K),13,656479,4313877,556977,4484122,65,0.15217842326056122,0.12421093806100726,1.2251612107286194
AKT1_E17K,AKT (PI3K),14,652988,4291980,560468,4506019,70,0.15214143588739928,0.12438207650700096,1.2231781311259573
AKT1_E17K,AKT (PI3K),15,649245,4271112,564211,4526887,75,0.15200842309918353,0.12463553872672324,1.21962342885586
AKT1_E17K,AKT (PI3K),16,645741,4249609,567715,4548390,80,0.1519530385030717,0.12481669337941557,1.2174095819151975
AKT1_E17K,AKT (PI3K),17,642141,4229086,571315,4568913,85,0.15183919173079005,0.12504396559969516,1.2142864391943133
AKT1_E17K,AKT (PI3K),18,638735,4208126,574721,4589873,90,0.15178609195637202,0.12521501139574015,1.2122036348873089
AKT1_E17K,AKT (PI3K),19,635357,4188033,578099,4609966,95,0.1517077348721942,0.12540200947252106,1.2097711632399113
AKT1_E17K,AKT (PI3K),20,632325,4166856,581131,4631143,100,0.1517511044298147,0.12548327702254067,1.209333291499516
AKT1_E17K,AKT (PI3K),21,629601,4146022,583855,4651977,105,0.15185664716685054,0.12550685439760342,1.209947041503976
AKT1_E17K,AKT (PI3K),22,626156,4125674,587300,4672325,110,0.15177059554390385,0.1256975916701,1.2074264393404914
AKT1_E17K,AKT (PI3K),23,622845,4105316,590611,4692683,115,0.1517167009799002,0.12585785146791292,1.2054607575958811
AKT1_E17K,AKT (PI3K),24,619003,4084770,594453,4713229,120,0.15153925435214222,0.12612436187590292,1.2015066090185311
AKT1_E17K,AKT (PI3K),25,615532,4064978,597924,4733021,125,0.1514232057344468,0.12633030785200403,1.1986292783505212
AKT1_E17K,AKT (PI3K),26,612039,4045354,601417,4752645,130,0.15129429958416496,0.12654364043600985,1.1955899092429771
AKT1_E17K,AKT (PI3K),27,608858,4024912,604598,4773087,135,0.15127237564448615,0.12666812903263652,1.1942418096781886
AKT1_E17K,AKT (PI3K),28,605612,4005440,607844,4792559,140,0.15119737157465846,0.12683078079998597,1.192118905371236
AKT1_E17K,AKT (PI3K),29,602048,3985283,611408,4812716,145,0.1510678162629856,0.1270401162254328,1.189134745397396
AKT1_E17K,AKT (PI3K),30,599335,3965563,614121,4832436,150,0.15113490820849398,0.12708311087824029,1.1892603758598417
AKT1_E17K,ERK (MAPK),0,653439,4297224,441324,4500775,0,0.15206072571501975,0.09805511273058529,1.5507679455003989
AKT1_E17K,ERK (MAPK),1,645147,4276034,449616,4521965,5,0.15087508658724416,0.09942934100551419,1.5174101031090699
AKT1_E17K,ERK (MAPK),2,637239,4254715,457524,4543284,10,0.14977242894059883,0.10070336787222635,1.4872633567790097
AKT1_E17K,ERK (MAPK),3,630482,4233480,464281,4564519,15,0.14892759620926518,0.10171520810845568,1.4641625276966297
AKT1_E17K,ERK (MAPK),4,623860,4212271,470903,4585728,20,0.14810538068419624,0.10268882061910345,1.4422736554113647
AKT1_E17K,ERK (MAPK),5,617839,4191328,476924,4606671,25,0.14740888806602584,0.1035289908916873,1.4238416389110369
AKT1_E17K,ERK (MAPK),6,612759,4170435,482004,4627564,30,0.14692927716173493,0.10415933739652224,1.4106203133991972
AKT1_E17K,ERK (MAPK),7,608180,4148688,486583,4649311,35,0.14659574303972725,0.10465701261971935,1.4007254685588633
AKT1_E17K,ERK (MAPK),8,603330,4128044,491433,4669955,40,0.14615396541315936,0.10523291980329574,1.3888616384146175
AKT1_E17K,ERK (MAPK),9,599385,4106227,495378,4691772,45,0.1459697673801278,0.10558441458792116,1.382493504839934
AKT1_E17K,ERK (MAPK),10,595434,4085463,499329,4712536,50,0.1457445582055204,0.1059575990507022,1.375498874184376
