mutation,exp_id,site_id,biosensor,signal_col,jump_threshold_theta,p_exposed,p_unexposed,risk_difference,RR,n_nodes,n_spatial_edges
PIK3CA_E545K,1,9,ERKKTR_ratio,ERKKTR_ratio,0.04605350000000008,0.1399067868362123,0.08602215085391841,0.053884635982293885,1.6264041929595554,326279,1995173
PIK3CA_E545K,1,9,FoxO3A_ratio,FoxO3A_ratio,0.03769,0.1495129032941725,0.11193876335762155,0.03757413993655094,1.3356669201044253,326279,1995173
PIK3CA_E545K,1,10,ERKKTR_ratio,ERKKTR_ratio,0.050957500000000024,0.1461828909500485,0.08323832796609784,0.06294456298395065,1.756196868942242,344904,2269778
PIK3CA_E545K,1,10,FoxO3A_ratio,FoxO3A_ratio,0.041690000000000005,0.15775654298086908,0.1082111146448663,0.049545428336002784,1.4578589593001046,344904,2269778
PIK3CA_E545K,1,11,ERKKTR_ratio,ERKKTR_ratio,0.04979,0.1368357202035744,0.09022455291112008,0.04661116729245432,1.516612892926949,343420,2219451
PIK3CA_E545K,1,11,FoxO3A_ratio,FoxO3A_ratio,0.041139999999999954,0.15418473088717352,0.10588314906198597,0.04830158182518755,1.4561781761601265,343420,2219451
PIK3CA_E545K,1,12,ERKKTR_ratio,ERKKTR_ratio,0.04645789999999997,0.1465622403337871,0.08591268375563271,0.06064955657815438,1.7059441508155424,316181,1910722
PIK3CA_E545K,1,12,FoxO3A_ratio,FoxO3A_ratio,0.041649999999999965,0.15712419888831516,0.10924228544791288,0.04788191344040228,1.4383093345592128,316181,1910722
PIK3CA_E545K,2,9,ERKKTR_ratio,ERKKTR_ratio,0.047152699999999985,0.1381756808357899,0.08789151494740179,0.05028416588838812,1.572116272184868,332850,2094248
PIK3CA_E545K,2,9,FoxO3A_ratio,FoxO3A_ratio,0.04017999999999988,0.15417987308091607,0.11003559174613,0.04414428133478608,1.4011818415684456,332850,2094248
PIK3CA_E545K,2,10,ERKKTR_ratio,ERKKTR_ratio,0.044649999999999856,0.1646297213550966,0.07631649840874119,0.08831322294635541,2.157196999177836,392635,3041442
PIK3CA_E545K,2,10,FoxO3A_ratio,FoxO3A_ratio,0.0462879,0.17308952925062754,0.09116186499380481,0.08192766425682273,1.8987054429216688,392635,3041442
PIK3CA_E545K,2,11,ERKKTR_ratio,ERKKTR_ratio,0.04742270000000015,0.15087846690555495,0.08050197936116059,0.07037648754439436,1.8742205856661032,336109,2126315
PIK3CA_E545K,2,11,FoxO3A_ratio,FoxO3A_ratio,0.0400100000000001,0.15559159384549404,0.11232576183214277,0.04326583201335127,1.3851817366527797,336109,2126315
PIK3CA_E545K,2,12,ERKKTR_ratio,ERKKTR_ratio,0.04755990000000004,0.15130337113707626,0.08098251888102016,0.0703208522560561,1.8683460730503056,340721,2177654
