mutation,tau_frames,tau_min,n_exposed,p_exp,p_unexp,RD,RR
WT,0,0,146620,0.13145546310189607,0.07486715044854579,0.05658831265335028,1.7558496926130764
WT,1,5,145714,0.12844338910468453,0.07719113589167353,0.051252253213010995,1.6639655268829834
WT,2,10,144813,0.12482995311194436,0.07987951977867896,0.0449504333332654,1.5627278864195593
WT,3,15,143980,0.1206209195721628,0.08290540413445441,0.03771551543770839,1.4549222795722951
WT,4,20,143194,0.11687640543598195,0.08555646136114468,0.031319944074837264,1.3660733926644277
WT,5,25,142405,0.11364067272918787,0.08782273009471261,0.02581794263447526,1.2939779098945323
WT,6,30,141705,0.11077943615257048,0.08979327864809912,0.02098615750447136,1.2337163518298107
AKT1_E17K,0,0,224573,0.15527245038361692,0.09638952703608686,0.058882923347530064,1.6108850739093796
AKT1_E17K,1,5,223505,0.1538444330104472,0.09808901897636184,0.05575541403408536,1.5684164712415125
AKT1_E17K,2,10,222404,0.15292440783439146,0.09926651232586861,0.053657895508522846,1.5405437770632717
AKT1_E17K,3,15,221299,0.15198893804310007,0.10043962433703946,0.05154931370606061,1.5132368230796995
AKT1_E17K,4,20,220110,0.15137431284357822,0.1013010460076862,0.050073266835892014,1.4943015774199677
AKT1_E17K,5,25,218904,0.15069619559258854,0.10221135362042134,0.048484841972167195,1.4743586720534356
AKT1_E17K,6,30,217636,0.1499062655075447,0.10322314945269319,0.04668311605485152,1.4522543276617057
PTEN_del,0,0,56325,0.12740346205059921,0.08098750758975286,0.046415954460846356,1.5731248663185091
PTEN_del,1,5,56132,0.12247915627449583,0.08282851742179385,0.03965063885270198,1.4787075766524478
PTEN_del,2,10,55909,0.11540181366148562,0.08543451652386781,0.02996729713761781,1.3507633490176756
PTEN_del,3,15,55656,0.10825427626850655,0.0880417794871465,0.020212496781360043,1.2295784671675216
PTEN_del,4,20,55396,0.10244421979926348,0.09014209306357268,0.012302126735690797,1.1364748289904332
PTEN_del,5,25,55194,0.09760118853498569,0.09187213440636122,0.0057290541286244695,1.0623589967256468
PTEN_del,6,30,54994,0.09493762955958832,0.09281757340933107,0.0021200561502572463,1.0228411072643289
